iter	RMSE
0	0.9382524453
1	0.9291122156
2	0.9204283723
3	0.9117526954
4	0.9026797732
5	0.894226856
6	0.8867583804
7	0.8793205097
8	0.8722041716
9	0.8654775783
10	0.8588611126
11	0.8526406788
12	0.8467218341
13	0.8410623234
14	0.835524784
15	0.8294387077
16	0.8235839337
17	0.8178417337
18	0.8126686324
19	0.8074119808
20	0.8027148386
21	0.7982425957
22	0.793486413
23	0.7896009436
24	0.785699876
25	0.78181548
26	0.7777710024
27	0.7742451841
28	0.7706882326
29	0.7674231776
30	0.7638217723
31	0.7601273371
32	0.7571567005
33	0.7539577755
34	0.7502911373
35	0.747091908
36	0.7442148626
37	0.7412884747
38	0.7387616257
39	0.7365288379
40	0.7331086673
41	0.7306747494
42	0.7277043003
43	0.7252221189
44	0.7224349224
45	0.7202357555
46	0.71812321
47	0.7156275114
48	0.7136636246
49	0.7115792834
50	0.709801269
51	0.7076214269
52	0.7055530063
53	0.7036108448
54	0.7016207054
55	0.6995441685
56	0.6976478896
57	0.6954774178
58	0.693386852
59	0.6919682025
60	0.6903955925
61	0.6888222297
62	0.6875120027
63	0.6858426076
64	0.6841056894
65	0.6826242299
66	0.6810669188
67	0.6796307645
68	0.6784403849
69	0.6765296555
70	0.6747484512
71	0.6732205191
72	0.671698884
73	0.6697481048
74	0.66858016
75	0.6673289281
76	0.6664301426
77	0.6651753842
78	0.6637617274
79	0.6624135334
80	0.6609707791
81	0.659855264
82	0.6589724947
83	0.6578321824
84	0.6564477052
85	0.6550556929
86	0.6542050485
87	0.6531419182
88	0.6519204393
89	0.6511922567
90	0.6503976303
91	0.6491873114
92	0.6481663519
93	0.6467804629
94	0.6456624631
95	0.6446102205
96	0.6438294644
97	0.6430172096
98	0.6423894454
99	0.6417565636
100	0.6409044209
101	0.6398311384
102	0.6390783347
103	0.6382128603
104	0.6374320252
105	0.6363393491
106	0.6354273791
107	0.6348919468
108	0.6339054609
109	0.633449166
110	0.632811358
111	0.6321593064
112	0.631602159
113	0.6310822136
114	0.6303361522
115	0.6297168057
116	0.6292458024
117	0.6286425069
118	0.6280170183
119	0.6273321678
120	0.6267712487
121	0.6259482189
122	0.6252695859
123	0.6246685273
124	0.6236680995
125	0.6231900316
126	0.6225420516
127	0.6216530823
128	0.6210645945
129	0.6204208892
130	0.6198097219
131	0.6194185734
132	0.6188319375
133	0.6179759603
134	0.6173784502
135	0.6167245722
136	0.6161433219
137	0.6157649739
138	0.6153164219
139	0.6147134181
140	0.6141378291
