iter	Passed	Remaining
0	50	101431
1	54	54110
2	57	38095
3	60	30056
4	63	25143
5	66	21985
6	68	19579
7	71	17734
8	74	16410
9	76	15274
10	79	14379
11	82	13617
12	84	12941
13	87	12423
14	90	11992
15	93	11579
16	96	11224
17	98	10895
18	101	10613
19	104	10356
20	107	10121
21	110	9925
22	114	9799
23	116	9614
24	119	9479
25	123	9402
26	126	9272
27	130	9160
28	133	9087
29	136	8989
30	140	8897
31	143	8798
32	146	8732
33	149	8644
34	152	8546
35	155	8503
36	158	8411
37	161	8331
38	164	8257
39	166	8171
40	169	8087
41	171	8015
42	174	7964
43	179	7962
44	182	7912
45	186	7911
46	190	7916
47	193	7887
48	198	7885
49	201	7862
50	204	7815
51	209	7833
52	212	7808
53	215	7764
54	218	7724
55	221	7682
56	224	7652
57	227	7608
58	230	7597
59	233	7555
60	236	7524
61	239	7490
62	242	7447
63	245	7413
64	248	7395
65	251	7364
66	254	7339
67	256	7301
68	259	7266
69	262	7238
70	265	7209
71	268	7180
72	271	7166
73	274	7141
74	277	7112
75	279	7083
76	282	7051
77	285	7022
78	287	6994
79	290	6970
80	293	6949
81	296	6926
82	298	6901
83	301	6878
84	304	6856
85	307	6834
86	309	6811
87	313	6802
88	315	6776
89	318	6758
90	321	6736
91	323	6717
92	326	6693
93	329	6674
94	331	6653
95	334	6640
96	337	6623
97	340	6610
98	343	6590
99	345	6564
100	348	6544
101	350	6528
102	354	6521
103	356	6502
104	359	6482
105	361	6466
106	364	6450
107	367	6431
108	370	6426
109	373	6408
110	375	6393
111	378	6384
112	381	6366
113	383	6349
114	386	6337
115	389	6326
116	392	6311
117	395	6307
118	398	6294
119	400	6282
120	405	6291
121	410	6322
122	414	6330
123	417	6317
124	421	6315
125	423	6305
126	426	6296
127	429	6287
128	432	6277
129	435	6269
130	438	6260
131	442	6256
132	444	6243
133	447	6232
134	450	6219
135	452	6204
136	455	6189
137	457	6175
138	460	6162
139	464	6176
140	468	6178
141	471	6165
142	473	6153
143	476	6140
144	479	6128
145	481	6119
146	484	6108
147	486	6093
148	489	6082
149	492	6070
150	494	6060
151	497	6048
152	499	6033
153	502	6019
154	506	6027
155	510	6033
156	513	6023
157	516	6023
158	519	6010
159	521	6002
160	524	5991
161	527	5979
162	529	5970
163	532	5959
164	535	5950
165	537	5937
166	539	5925
167	542	5917
168	545	5905
169	548	5901
170	550	5892
171	553	5883
172	556	5872
173	558	5862
174	561	5852
175	563	5841
176	565	5828
177	568	5819
178	571	5810
179	573	5801
180	576	5790
181	578	5781
182	581	5773
183	583	5763
184	586	5755
185	589	5748
186	591	5738
187	594	5729
188	596	5717
189	599	5714
190	602	5705
191	604	5696
192	608	5694
193	611	5688
194	614	5683
195	616	5675
196	619	5669
197	621	5660
198	624	5652
199	627	5643
200	629	5637
201	633	5635
202	635	5625
203	639	5625
204	641	5618
205	644	5610
206	646	5603
207	649	5598
208	652	5590
209	655	5584
210	657	5576
211	660	5568
212	662	5561
213	665	5554
214	668	5547
215	670	5540
216	673	5532
217	675	5525
218	678	5518
219	681	5512
220	683	5504
221	686	5497
222	689	5491
223	691	5484
224	694	5476
225	696	5470
